time_s,total_load_kw,total_queue,bus_0_soc,bus_1_soc,bus_2_soc,bus_3_soc,bus_4_soc,bus_0_charging,bus_1_charging,bus_2_charging,bus_3_charging,bus_4_charging
3266,240.0,4,60.566703337703075,61.77208747999882,29.500000000000064,0.0,27.333333333333286,0,0,1,1,0
3268,240.0,4,60.51673668827362,61.7280943198786,29.555555555555625,0.0,27.388888888888847,0,0,1,1,0
3270,240.0,4,60.466770038844174,61.684101159758384,29.61111111111118,0.0,27.444444444444404,0,0,1,1,0
3272,240.0,4,60.41680338941473,61.64010799963816,29.666666666666742,0.0,27.499999999999964,0,0,1,1,0
3274,240.0,4,60.36683673998529,61.596114839517945,29.7222222222223,0.0,27.55555555555552,0,0,1,1,0
3276,240.0,4,60.31687009055583,61.55212167939773,29.777777777777853,0.0,27.611111111111082,0,0,1,1,0
3278,240.0,4,60.26690344112639,61.508128519277506,29.83333333333341,0.0,27.66666666666664,0,0,1,1,0
3280,240.0,4,60.21693679169694,61.46413535915729,29.88888888888897,0.0,27.722222222222197,0,0,1,1,0
3282,240.0,4,60.166970142267495,61.42014219903707,29.944444444444528,0.0,27.777777777777757,0,0,1,1,0
3284,240.0,4,60.11700349283804,61.37614903891685,30.00000000000009,0.0,27.833333333333314,0,0,1,1,0
3286,240.0,4,60.067036843408594,61.332155878796634,30.055555555555646,0.0,27.888888888888875,0,0,1,1,0
3288,240.0,4,60.01707019397915,61.28816271867642,30.111111111111207,0.0,27.944444444444432,0,0,1,1,0
3290,240.0,4,59.967103544549694,61.244169558556194,30.166666666666764,0.0,27.999999999999993,0,0,1,1,0
3292,240.0,4,59.91713689512025,61.20017639843598,30.22222222222232,0.0,28.05555555555555,0,0,1,1,0
3294,240.0,4,59.8671702456908,61.15618323831576,30.27777777777788,0.0,28.111111111111104,0,0,1,1,0
3296,240.0,4,59.81720359626136,61.11219007819554,30.33333333333344,0.0,28.16666666666666,0,0,1,1,0
3298,240.0,4,59.7672369468319,61.06819691807532,30.388888888889,0.0,28.22222222222222,0,0,1,1,0
3300,240.0,4,59.71727029740246,61.02420375795511,30.444444444444557,0.0,28.27777777777778,0,0,1,1,0
3302,240.0,4,59.667303647973014,60.98021059783488,30.500000000000117,0.0,28.33333333333334,0,0,1,1,0
3304,240.0,4,59.61733699854357,60.93621743771467,30.555555555555674,0.0,28.388888888888896,0,0,1,1,0
3306,240.0,4,59.567370349114114,60.89222427759445,30.611111111111228,0.0,28.444444444444457,0,0,1,1,0
3308,240.0,4,59.51740369968467,60.84823111747423,30.666666666666785,0.0,28.500000000000014,0,0,1,1,0
3310,240.0,4,59.46743705025522,60.80423795735401,30.722222222222346,0.0,28.55555555555557,0,0,1,1,0
3312,240.0,4,59.41747040082578,60.760244797233796,30.777777777777903,0.0,28.611111111111132,0,0,1,1,0
3314,240.0,4,59.36750375139632,60.71625163711357,30.833333333333464,0.0,28.66666666666669,0,0,1,1,0
3316,240.0,4,59.31753710196688,60.672258476993356,30.88888888888902,0.0,28.72222222222225,0,0,1,1,0
3318,240.0,4,59.267570452537434,60.62826531687314,30.94444444444458,0.0,28.777777777777807,0,0,1,1,0
3320,240.0,4,59.21760380310798,60.58427215675292,31.00000000000014,0.0,28.833333333333368,0,0,1,1,0
3322,240.0,4,59.167637153678534,60.5402789966327,31.055555555555696,0.0,28.888888888888925,0,0,1,1,0
3324,240.0,4,59.117670504249084,60.496285836512484,31.111111111111256,0.0,28.94444444444448,0,0,1,1,0
3326,240.0,4,59.06770385481964,60.45229267639226,31.166666666666814,0.0,29.000000000000036,0,0,1,1,0
3328,240.0,4,59.01773720539018,60.408299516272045,31.222222222222374,0.0,29.055555555555596,0,0,1,1,0
3330,240.0,4,58.96777055596074,60.36430635615183,31.27777777777793,0.0,29.111111111111153,0,0,1,1,0
3332,240.0,4,58.9178039065313,60.320313196031606,31.333333333333492,0.0,29.166666666666714,0,0,1,1,0
3334,240.0,4,58.867837257101854,60.27632003591139,31.38888888888905,0.0,29.22222222222227,0,0,1,1,0
3336,240.0,4,58.8178706076724,60.23232687579117,31.444444444444603,0.0,29.277777777777832,0,0,1,1,0
3338,240.0,4,58.767903958242954,60.18833371567095,31.50000000000016,0.0,29.33333333333339,0,0,1,1,0
3340,240.0,4,58.717937308813504,60.144340555550734,31.55555555555572,0.0,29.388888888888946,0,0,1,1,0
3342,240.0,4,58.66797065938406,60.10034739543052,31.611111111111278,0.0,29.444444444444507,0,0,1,1,0
3344,240.0,4,58.6180040099546,60.056354235310295,31.66666666666684,0.0,29.500000000000064,0,0,1,1,0
3346,240.0,4,58.56803736052516,60.01236107519008,31.722222222222396,0.0,29.555555555555625,0,0,1,1,0
3348,240.0,4,58.51807071109572,59.96836791506986,31.777777777777956,0.0,29.61111111111118,0,0,1,1,0
3350,240.0,4,58.46810406166626,59.92437475494964,31.833333333333513,0.0,29.666666666666742,0,0,1,1,0
3352,240.0,4,58.41813741223682,59.88038159482942,31.88888888888907,0.0,29.7222222222223,0,0,1,1,0
3354,240.0,4,58.36817076280737,59.83638843470921,31.94444444444463,0.0,29.777777777777853,0,0,1,1,0
3356,240.0,4,58.318204113377924,59.79239527458898,32.00000000000019,0.0,29.83333333333341,0,0,1,1,0
3358,240.0,4,58.268237463948466,59.74840211446877,32.05555555555575,0.0,29.88888888888897,0,0,1,1,0
3360,240.0,4,58.21827081451902,59.70440895434855,32.111111111111306,0.0,29.944444444444528,0,0,1,1,0
3362,240.0,4,58.16830416508958,59.66041579422833,32.16666666666686,0.0,30.00000000000009,0,0,1,1,0
3364,240.0,4,58.11833751566014,59.61642263410811,32.22222222222243,0.0,30.055555555555646,0,0,1,1,0
3366,240.0,4,58.06837086623068,59.572429473987896,32.27777777777798,0.0,30.111111111111207,0,0,1,1,0
3368,240.0,4,58.01840421680124,59.52843631386767,32.333333333333535,0.0,30.166666666666764,0,0,1,1,0
3370,240.0,4,57.96843756737179,59.484443153747456,32.38888888888909,0.0,30.22222222222232,0,0,1,1,0
3372,240.0,4,57.918470917942344,59.44044999362724,32.444444444444656,0.0,30.27777777777788,0,0,1,1,0
3374,240.0,4,57.868504268512886,59.39645683350702,32.50000000000021,0.0,30.33333333333344,0,0,1,1,0
3376,240.0,4,57.81853761908344,59.3524636733868,32.55555555555577,0.0,30.388888888889,0,0,1,1,0
3378,240.0,4,57.768570969654,59.308470513266585,32.61111111111133,0.0,30.444444444444557,0,0,1,1,0
3380,240.0,4,57.71860432022454,59.26447735314636,32.666666666666885,0.0,30.500000000000117,0,0,1,1,0
3382,240.0,4,57.6686376707951,59.220484193026145,32.72222222222245,0.0,30.555555555555674,0,0,1,1,0
3384,240.0,4,57.61867102136565,59.17649103290593,32.777777777778006,0.0,30.611111111111228,0,0,1,1,0
3386,240.0,4,57.56870437193621,59.132497872785706,32.83333333333356,0.0,30.666666666666785,0,0,1,1,0
3388,240.0,4,57.51873772250675,59.08850471266549,32.88888888888912,0.0,30.722222222222346,0,0,1,1,0
3390,240.0,4,57.468771073077306,59.04451155254527,32.944444444444684,0.0,30.777777777777903,0,0,1,1,0
3392,240.0,4,57.41880442364786,59.00051839242505,33.00000000000024,0.0,30.833333333333464,0,0,1,1,0
